nohup: ignoring input
GPU: True
Data set: MNIST-USPS
MissRate: [0.5]
shuffle
[1 6 9 ... 7 9 1]
--------------------Missing rate = 0.5--------------------
Epoch 1 Loss:0.019773
Epoch 2 Loss:0.018320
Epoch 3 Loss:0.017175
Epoch 4 Loss:0.016515
Epoch 5 Loss:0.016138
Epoch 6 Loss:0.015878
Epoch 7 Loss:0.015643
Epoch 8 Loss:0.015415
Epoch 9 Loss:0.015233
Epoch 10 Loss:0.015077
Epoch 11 Loss:0.014943
Epoch 12 Loss:0.014862
Epoch 13 Loss:0.014804
Epoch 14 Loss:0.014710
Epoch 15 Loss:0.014623
Epoch 16 Loss:0.014540
Epoch 17 Loss:0.014465
Epoch 18 Loss:0.014391
Epoch 19 Loss:0.013730
Epoch 20 Loss:0.011776
Epoch 21 Loss:0.010042
Epoch 22 Loss:0.010246
Epoch 23 Loss:0.009569
Epoch 24 Loss:0.009304
Epoch 25 Loss:0.009173
Epoch 26 Loss:0.009032
Epoch 27 Loss:0.009423
Epoch 28 Loss:0.009170
Epoch 29 Loss:0.008936
Epoch 30 Loss:0.008863
Epoch 31 Loss:0.008822
Epoch 32 Loss:0.008809
Epoch 33 Loss:0.008808
Epoch 34 Loss:0.008797
Epoch 35 Loss:0.008770
Epoch 36 Loss:0.008780
Epoch 37 Loss:0.008759
Epoch 38 Loss:0.008758
Epoch 39 Loss:0.008772
Epoch 40 Loss:0.008775
Epoch 41 Loss:0.008762
Epoch 42 Loss:0.008777
Epoch 43 Loss:0.008784
Epoch 44 Loss:0.008792
Epoch 45 Loss:0.008830
Epoch 46 Loss:0.008771
Epoch 47 Loss:0.008752
Epoch 48 Loss:0.008772
Epoch 49 Loss:0.008775
Epoch 50 Loss:0.008792
Epoch 51 Loss:0.008777
Epoch 52 Loss:0.008743
Epoch 53 Loss:0.008755
Epoch 54 Loss:0.008761
Epoch 55 Loss:0.008739
Epoch 56 Loss:0.008748
Epoch 57 Loss:0.008803
Epoch 58 Loss:0.008791
Epoch 59 Loss:0.008772
Epoch 60 Loss:0.008749
Epoch 61 Loss:0.009188
Epoch 62 Loss:0.008967
Epoch 63 Loss:0.008824
Epoch 64 Loss:0.008813
Epoch 65 Loss:0.008970
Epoch 66 Loss:0.008967
Epoch 67 Loss:0.008886
Epoch 68 Loss:0.008794
Epoch 69 Loss:0.008772
Epoch 70 Loss:0.008762
Epoch 71 Loss:0.008751
Epoch 72 Loss:0.008765
Epoch 73 Loss:0.008782
Epoch 74 Loss:0.008753
Epoch 75 Loss:0.008722
Epoch 76 Loss:0.008772
Epoch 77 Loss:0.008776
Epoch 78 Loss:0.008758
Epoch 79 Loss:0.008762
Epoch 80 Loss:0.008772
Epoch 81 Loss:0.008790
Epoch 82 Loss:0.008770
Epoch 83 Loss:0.008786
Epoch 84 Loss:0.008727
Epoch 85 Loss:0.008780
Epoch 86 Loss:0.008738
Epoch 87 Loss:0.008725
Epoch 88 Loss:0.008766
Epoch 89 Loss:0.008866
Epoch 90 Loss:0.008804
Epoch 91 Loss:0.008761
Epoch 92 Loss:0.008748
Epoch 93 Loss:0.008753
Epoch 94 Loss:0.008790
Epoch 95 Loss:0.008787
Epoch 96 Loss:0.008776
Epoch 97 Loss:0.008755
Epoch 98 Loss:0.008800
Epoch 99 Loss:0.008757
Epoch 100 Loss:0.008754
Epoch 101 Loss:0.008796
Epoch 102 Loss:0.008830
Epoch 103 Loss:0.008770
Epoch 104 Loss:0.008774
Epoch 105 Loss:0.008774
Epoch 106 Loss:0.008749
Epoch 107 Loss:0.008729
Epoch 108 Loss:0.008739
Epoch 109 Loss:0.008808
Epoch 110 Loss:0.008824
Epoch 111 Loss:0.008777
Epoch 112 Loss:0.008814
Epoch 113 Loss:0.008905
Epoch 114 Loss:0.008860
Epoch 115 Loss:0.008788
Epoch 116 Loss:0.008785
Epoch 117 Loss:0.008749
Epoch 118 Loss:0.008745
Epoch 119 Loss:0.008735
Epoch 120 Loss:0.008753
Epoch 121 Loss:0.008745
Epoch 122 Loss:0.008733
Epoch 123 Loss:0.008744
Epoch 124 Loss:0.008811
Epoch 125 Loss:0.008869
Epoch 126 Loss:0.008916
Epoch 127 Loss:0.008850
Epoch 128 Loss:0.010859
Epoch 129 Loss:0.011202
Epoch 130 Loss:0.011063
Epoch 131 Loss:0.010929
Epoch 132 Loss:0.010815
Epoch 133 Loss:0.011081
Epoch 134 Loss:0.012807
Epoch 135 Loss:0.012846
Epoch 136 Loss:0.012760
Epoch 137 Loss:0.012697
Epoch 138 Loss:0.012700
Epoch 139 Loss:0.012693
Epoch 140 Loss:0.012527
Epoch 141 Loss:0.012626
Epoch 142 Loss:0.012443
Epoch 143 Loss:0.012430
Epoch 144 Loss:0.012128
Epoch 145 Loss:0.011980
Epoch 146 Loss:0.011975
Epoch 147 Loss:0.011973
Epoch 148 Loss:0.011898
Epoch 149 Loss:0.011773
Epoch 150 Loss:0.011836
---------------------------Result of MNIST-USPS----------------------------
------------------------- MissRate = 0.50--------------------
K-meansClustering: ACC = 0.9672 NMI = 0.9175 ARI = 0.9284
Clustering: ACC = 0.9738 NMI = 0.9304 ARI = 0.9427 PUR = 0.9738
------------------------Training over------------------------
